Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,Drafted
BJ Adams,CB,Central Florida,College Stats,2-Jun,182,4.53,32.5,,117,,,,AdamBr00,0
Tommy Akingbesote,DT,Maryland,College Stats,4-Jun,306,5.09,28,,103,,,Dallas Cowboys / 7th / 247th pick / 2025,AkinTo00,1
Darius Alexander,DT,Toledo,College Stats,4-Jun,305,4.95,31.5,28,111,7.6,4.79,New York Giants / 3rd / 65th pick / 2025,AlexDa01,1
Zy Alexander,CB,LSU,College Stats,1-Jun,187,4.56,31.5,,116,,,,AlexZy00,0
LeQuint Allen,RB,Syracuse,College Stats,Jun-00,204,,35,,120,,,Jacksonville Jaguars / 7th / 236th pick / 2025,AlleLe01,1
Trey Amos,CB,Mississippi,College Stats,1-Jun,195,4.43,32.5,13,126,,,Washington Commanders / 2nd / 61st pick / 2025,AmosTr00,1
Andrew Armstrong,WR,Arkansas,College Stats,4-Jun,202,4.51,37.5,11,124,6.97,4.18,,-9999,0
Elijah Arroyo,TE,Miami,College Stats,5-Jun,250,,,22,,,,Seattle Seahawks / 2nd / 50th pick / 2025,ArroEl00,1
Eugene Asante,LB,Auburn,College Stats,1-Jun,223,4.48,,21,,,,,AsanEu01,0
Elic Ayomanor,WR,Stanford,College Stats,2-Jun,206,4.44,38.5,,127,,,Tennessee Titans / 4th / 136th pick / 2025,AyomEl00,1
Elijhah Badger,WR,Florida,College Stats,1-Jun,200,4.43,35.5,,,,,,BadgEl00,0
Tyler Baron,EDGE,Miami,College Stats,5-Jun,258,4.62,35.5,19,121,,,New York Jets / 5th / 176th pick / 2025,BaroTy00,1
Jahdae Barron,CB,Texas,College Stats,11-May,194,4.39,35,,123,,,Denver Broncos / 1st / 20th pick / 2025,BarrJa01,1
Gavin Bartholomew,TE,Pittsburgh,College Stats,5-Jun,246,4.7,,,,,,Minnesota Vikings / 6th / 202nd pick / 2025,BartGa00,1
Jeffrey Bassa,LB,Oregon,College Stats,1-Jun,232,4.63,38.5,21,118,7.34,,Kansas City Chiefs / 5th / 156th pick / 2025,BassJe00,1
Tyler Batty,EDGE,BYU,College Stats,6-Jun,271,4.78,34,27,120,7.21,4.54,,BattTy00,0
Jack Bech,WR,TCU,College Stats,1-Jun,214,,34.5,19,125,6.84,4.21,Las Vegas Raiders / 2nd / 58th pick / 2025,BechJa00,1
Anthony Belton,OT,North Carolina St.,College Stats,6-Jun,336,5.26,29.5,,107,7.77,,Green Bay Packers / 2nd / 54th pick / 2025,BeltAn00,1
Zeek Biggers,DT,Georgia Tech,College Stats,6-Jun,321,5.14,34.5,,111,,,,-9999,1
Yahya Black,DT,Iowa,College Stats,6-Jun,336,5.39,25.5,,101,7.63,4.72,Pittsburgh Steelers / 5th / 164th pick / 2025,BlacYa00,1
Jaydon Blue,RB,Texas,College Stats,9-May,196,4.38,,,,,,,-9999,1
Isaiah Bond,WR,Texas,College Stats,11-May,180,4.39,,,,,,,BondIs00,0
Tyler Booker,G,Alabama,College Stats,5-Jun,321,5.38,27,,94,7.96,4.84,Dallas Cowboys / 1st / 12th pick / 2025,BookTy00,1
Andres Borregales,K,Miami,College Stats,11-May,199,,,,,,,New England Patriots / 6th / 182nd pick / 2025,BorrAn00,1
Jake Briningstool,TE,Clemson,College Stats,6-Jun,241,4.75,31,,115,,,,BrinJa00,0
Warren Brinson,DT,Georgia,College Stats,5-Jun,315,5.09,31,,115,,,,-9999,1
Ja'Corey Brooks,WR,Louisville,College Stats,2-Jun,184,,,,,,,,BrooJa04,0
Tahj Brooks,RB,Texas Tech,College Stats,9-May,214,4.52,35,16,120,6.9,4.06,Cincinnati Bengals / 6th / 193rd pick / 2025,BrooTa00,1
Max Brosmer,QB,Minnesota,College Stats,2-Jun,217,,,,,,,,BrosMa00,0
Vernon Broughton,DT,Texas,College Stats,5-Jun,311,,,,,,,New Orleans Saints / 3rd / 71st pick / 2025,BrouVe00,1
Logan Brown,OT,Kansas,College Stats,6-Jun,311,5.18,32,,111,7.75,4.51,,BrowLo01,0
Carson Bruener,LB,Washington,College Stats,1-Jun,227,4.58,33.5,,119,,,,-9999,1
Jacobee Bryant,CB,Kansas,College Stats,Jun-00,180,4.53,,,,,,,BryaCo02,0
