Season,Id,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Ranking
2025,550577,Jordan Brown,WR,Fresno State,MWC,0.857,0.857,,0.829,0.183,1.397,0.521,1.193,10.28,10.28,0,4.143,0.548,5.588,3.123,7.156,791
2025,3116099,Monte Harrison,WR,Arkansas,SEC,0.67,0.67,,0.67,,,0.67,,0.67,0.67,0,0.67,0,0,0.67,0,1588
2025,3149911,Jordan Jackson,WR,Arkansas-Pine Bluff,,0.686,0.686,,0.717,0.329,0.881,0.717,0.669,13.719,13.719,0,5.022,1.646,7.051,5.022,8.697,656
2025,3949586,Jake Taylor,TE,Duke,ACC,0.093,0.093,,-0.837,-0.374,1.257,0.093,,0.467,0.467,0,-1.673,-0.374,2.514,0.467,0,627
2025,4241676,Kordell Rodgers,TE,Texas Southern,,0.507,0.507,,0.65,0.26,0.557,0.657,0.344,11.672,11.672,0,4.548,1.558,5.566,7.888,3.783,148
2025,4244849,Marcel Williams,WR,Akron,MAC,0.622,0.622,,0.476,0.506,1.116,0.395,1.161,33.58,33.58,0,12.379,9.106,10.042,15.01,18.57,204
2025,4258419,Hunter Smith,RB,Temple,AAC,0.012,0.434,-0.048,-0.092,-0.004,-0.077,-0.035,0.216,0.389,1.737,-1.348,-1.663,-0.04,-0.155,-0.908,1.297,670
2025,4362188,Sterling Galban,WR,East Tennessee State,,0.102,0.102,,0.18,0.156,-0.372,0.278,-0.19,0.819,0.819,0,0.721,0.469,-0.372,1.39,-0.571,1565
2025,4362263,Jalynn Williams,RB,Pittsburgh,ACC,0.181,,0.181,1.257,-0.239,-0.475,0.181,,0.543,0,0.543,1.257,-0.239,-0.475,0.543,0,656
2025,4379471,Tyler Brown,WR,Clemson,ACC,0.363,0.278,0.874,0.484,0.055,0.389,0.406,0.28,12.7,8.33,4.37,7.264,0.383,5.053,9.339,3.361,690
